zip_code,base_year,city,county,current_home_value,home_value_1yr_growth_pct,home_value_3yr_growth_pct,median_household_income,median_gross_rent,population,population_growth_pct,unemployment_rate,bachelor_degree_pct,mortgage_rate,price_to_income_ratio,price_to_rent_ratio,housing_units,zori_rent,zori_rent_available,inventory_per_1k_housing_units,new_listings_per_1k_housing_units,price_cut_pct,list_to_value_ratio,listings_available,is_growth_outlier,is_value_outlier,future_5yr_home_value,future_5yr_growth_pct
93307,2016,Bakersfield,Kern County,156507.76106477136,5.153998435454232,31.995396917297736,34774.0,900.0,84667.0,7.014927259628156,16.89238550154538,4.7136989068707775,3.6540384615384616,4.500712056846246,14.4914593578492,23413.0,,0,,,,,0,0,0,254248.3171055656,62.45093238561117
90280,2016,South Gate,Los Angeles County,363450.9536076263,6.1593916354509615,20.941615417258564,45522.0,1012.0,95219.0,0.6692322331000256,11.716461628588167,8.113056214255824,3.6540384615384616,7.98407261560622,29.928438208796635,24032.0,,0,,,,,0,0,0,599866.077896081,65.04732535209779
91342,2016,Los Angeles,Los Angeles County,405699.86379418266,7.027423738755578,19.480541298253428,63895.0,1389.0,95222.0,8.568301275838873,7.888761542287481,17.46153846153846,3.6540384615384616,6.34947748328011,24.340044624081035,25679.0,,0,,,,,0,0,0,706704.7403486017,74.19398018509642
92683,2016,Westminster,Orange County,554621.1764317731,5.4062439250528005,12.514285903206957,55224.0,1362.0,91613.0,2.3357387011013975,7.374565546742715,22.754173107852782,3.6540384615384616,10.043118507021822,33.93423742240413,28291.0,,0,,,,,0,0,0,856525.182709487,54.434273177243654
92503,2016,Riverside,Riverside County,345120.8191223424,1.4049138597004518,23.26606390285766,58627.0,1210.0,94029.0,4.850633927675374,10.973168702066886,17.592560281955542,3.6540384615384616,5.886721461482634,23.768651454706777,25803.0,1339.155330035666,1,,,,,0,0,0,559978.4082557503,62.25576007839815
92345,2016,Hesperia,San Bernardino County,199737.3001579486,7.175189174102137,27.279742889889636,43700.0,1046.0,81094.0,5.385315139701108,13.646200457552712,9.3609679028771,3.6540384615384616,4.570647600868389,15.912786819466906,25257.0,,0,,,,,0,0,0,388477.31593943,94.49412585041914
91911,2016,Chula Vista,San Diego County,430600.4330397248,6.517113469946367,30.877582069659315,51383.0,1266.0,84241.0,5.939535702608212,12.804893026454767,16.188178528347407,3.6540384615384616,8.380211996958622,28.343893696664352,26089.0,,0,,,,,0,0,0,631595.7106936009,46.67790885276082
93033,2016,Oxnard,Ventura County,412606.4859877506,7.18624328826325,27.80420441264393,55669.0,1344.0,83103.0,3.6080739069181744,9.036596340365964,8.597972972972972,3.6540384615384616,7.411781889161842,25.583239458565885,17830.0,,0,,,,,0,0,0,591407.6358076116,43.33454656967493
95076,2016,Watsonville,Santa Cruz County,546962.3428649731,6.883270718173096,33.6067323903461,58271.0,1320.0,85678.0,6.73327270688775,8.10046493792839,17.567149160151715,3.6540384615384616,9.386527481336739,34.53045093844527,24963.0,,0,,,,,0,0,0,789600.9836030244,44.3611235587293
92154,2016,San Diego,San Diego County,420891.5294669527,8.153472039030053,31.989781249763727,61618.0,1392.0,88016.0,10.357971287066636,12.180500163042115,15.331080463969313,3.6540384615384616,6.830658727432775,25.19705037517677,22478.0,,0,,,,,0,0,0,621308.8505177965,47.617332975236316
